,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,is_active,infinite_supply,cmc_rank,is_fiat,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,category,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
39,28299,TokenFi,TOKEN,tokenfi,108,2023-10-27T09:01:44.000Z,"['education', 'retail', 'real-estate', 'ai-big-data', 'defi', 'memes', 'research', 'smart-contracts', 'dao', 'ethereum-ecosystem', 'binance-chain', 'binance-smart-chain', 'social-token', 'tokenized-stock', 'governance', 'launchpad', 'analytics', 'generative-ai', 'real-world-assets', 'telegram-bot', 'dwf-labs-portfolio', 'discord-bots', 'paal-ecosystem', 'tokenfi-launchpad']",10000000000.0,1000019789.0,10000000000.0,,1,False,401.0,0,1000000000.0,113512391.84220931,,2024-04-14T23:33:00.000Z,0.1135123918422093,26473119.61848209,-20.3594,2.42986597,20.72658289,-26.29151284,59.63282605,263.73327129,289.86359414,113514638.13893147,0.0,1135123918.42,,2024-04-14T23:33:00.000Z,AI & Big Data,1839.0,BNB Smart Chain (BEP20),BNB,bnb,0x4507cEf57C46789eF8d1a19EA45f4216bae2B528
40,28778,NFPrompt,NFP,nfprompt,89,2023-12-27T10:19:02.000Z,"['ai-big-data', 'content-creation', 'payments', 'staking', 'binance-smart-chain', 'binance-launchpool', 'governance', 'web3', 'generative-ai']",1000000000.0,250000000.0,1000000000.0,,1,False,407.0,0,250000000.0,111319514.16086806,,2024-04-14T23:34:00.000Z,0.44527805664347225,28522983.43115984,-29.5372,0.87826549,10.48832513,-39.65275277,-45.21663408,-31.2565687,-40.87867974,111319514.16086806,0.0047,445278056.64,,2024-04-14T23:34:00.000Z,AI & Big Data,1839.0,BNB Smart Chain (BEP20),BNB,bnb,0x551897f8203bd131b350601D3aC0679Ba0Fc0136
41,15463,SIDUS,SIDUS,sidus,47,2021-12-15T14:37:58.000Z,"['ai-big-data', 'collectibles-nfts', 'gaming', 'metaverse', 'play-to-earn', 'animoca-brands-portfolio', 'okx-ventures-portfolio']",,9356868845.0,21353690696.897167,,1,False,474.0,0,,,,2024-04-14T23:33:00.000Z,0.009128864158519734,1746607.84819952,-49.9362,2.17768969,10.13124189,-25.14655432,48.16148909,48.27712115,66.34299316,85417584.63509044,0.0,194934941.66,,2024-04-14T23:33:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x549020a9Cb845220D66d3E9c6D9F9eF61C981102
42,20622,Forta,FORT,forta,27,2022-06-15T16:55:55.000Z,"['cybersecurity', 'ai-big-data', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'blockchain-capital-portfolio', 'a16z-portfolio', 'placeholder-ventures-portfolio', 'standard-crypto-portfolio']",1000000000.0,388388554.0,1000000000.0,,1,False,489.0,0,,,,2024-04-14T23:34:00.000Z,0.20247032164282575,11352983.56200435,185.4694,0.74799787,0.77014003,-5.4548749,-19.03382725,57.49889188,59.15753968,78637155.450772,0.0033,202470321.64,,2024-04-14T23:34:00.000Z,AI & Big Data,,,,,
43,8479,VAIOT,VAI,vaiot,35,2021-04-20T00:00:00.000Z,"['services', 'ai-big-data', 'dao-maker']",400000000.0,319218844.0,400000000.0,,1,False,498.0,0,319218844.0,76106457.15855764,,2024-04-14T23:34:00.000Z,0.23841467566544297,1704791.06819023,-13.7044,1.50937711,8.22289718,-22.91870855,-21.56817286,65.86584537,58.20332199,76106457.15855764,0.0,95365870.27,,2024-04-14T23:34:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0xD13cfD3133239a3c73a9E535A5c4DadEE36b395c
44,1037,Agoras: Currency of Tau,AGRS,agoras-tokens,19,2015-08-24T00:00:00.000Z,"['ai-big-data', 'ethereum-ecosystem']",,18000000.0,42000000.0,,1,False,499.0,0,18000000.0,75851991.38848117,,2024-04-14T23:33:00.000Z,4.213999521582287,425958.05757776,-42.6153,0.22684877,2.16655644,-6.58044784,-41.92917926,-38.99607626,9.13346471,75851991.38848117,0.0,176987979.91,,2024-04-14T23:33:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x738865301a9b7dd80dc3666dd48cf034ec42bdda
45,16876,Artificial Liquid Intelligence,ALI,alethea-artificial-liquid-intelligence-token,77,2022-01-05T09:29:06.000Z,"['marketing', 'education', 'media', 'services', 'communications-social-media', 'ai-big-data', 'enterprise-solutions', 'collectibles-nfts', 'content-creation', 'entertainment', 'identity', 'interoperability', 'video', 'ethereum-ecosystem', 'governance', 'metaverse', 'galaxy-digital-portfolio', 'polygon-ecosystem', 'web3', 'cronos-ecosystem', 'crypto-com-capital-portfolio', 'generative-ai']",,3588163659.855413,10000000000.0,,1,False,500.0,0,,,,2024-04-14T23:34:00.000Z,0.021126973447571994,2631264.80835018,-2.9192,7.49496619,17.4015242,-15.48589489,-42.30439211,-5.79686784,8.96616381,75807038.36730805,0.0,211269734.48,,2024-04-14T23:34:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x6b0b3a982b4634ac68dd83a4dbf02311ce324181
46,13969,Phoenix,PHB,phoenix-global-new,81,2021-11-05T14:03:22.000Z,"['retail', 'ai-big-data', 'enterprise-solutions', 'web3', 'depin']",64000000.0,48996905.0,48996905.0,,1,False,502.0,0,35888440.0,54897633.8228806,,2024-04-14T23:33:00.000Z,1.5296745643689333,16478911.88399336,-29.7453,1.88449397,12.26590879,-34.9843024,-48.58191906,39.69694919,70.81868864,74949319.31130101,0.0,97899172.12,,2024-04-14T23:33:00.000Z,AI & Big Data,,,,,
47,24476,LimeWire,LMWR,limewire,39,2023-04-17T05:39:22.000Z,"['communications-social-media', 'ai-big-data', 'content-creation', 'music', 'sharing-economy', 'ethereum-ecosystem', 'xrp', 'algorand-ecosystem', 'arrington-xrp-capital-portfolio', 'polygon-ecosystem', 'cardano-ecosystem', 'web3', 'generative-ai']",,61300554.91708554,800545267.0,,1,False,507.0,0,61300554.91708554,73238562.94513579,,2024-04-14T23:33:00.000Z,1.1947455132208422,7213043.85951472,6.627,4.34727798,22.26884025,-13.13480714,37.08146953,145.85641423,137.52688379,73238562.94513579,0.0,956447865.88,,2024-04-14T23:33:00.000Z,AI & Big Data,1027.0,Ethereum,ETH,ethereum,0x628a3b2e302c7e896acc432d2d0dd22b6cb9bc88
48,2638,Cortex,CTXC,cortex,45,2018-04-16T00:00:00.000Z,"['mineable', 'platform', 'ai-big-data', 'iot', 'smart-contracts', 'kenetic-capital-portfolio']",299792458.0,220112581.890625,299792458.0,,1,False,530.0,0,177274620.0,53869647.9707485,,2024-04-14T23:34:00.000Z,0.3038768210065744,10361604.96925109,-6.083,0.71997195,11.72329743,-29.10080916,-39.2352402,-45.57194556,-27.61343552,66887111.648472406,0.0028,91099979.1,,2024-04-14T23:34:00.000Z,AI & Big Data,,,,,
